AnnotatorId,Gender Identification,Age,Race/Ethnicity,Religion,Education,Visual Arts Experience,Profession
annotator019,Woman,45+,Asian,Atheist/Agnostic,Bachelors,None,"Business, Management, and Administration"
annotator031,Man,45+,White/Caucasian,Catholicism/Christianity,Associates/Trade,Artistic Interests,Communications and Information Systems
annotator068,Woman,30-45,White/Caucasian,Atheist/Agnostic,Bachelors,None,"Business, Management, and Administration"
annotator090,Binary,22-30,White/Caucasian,Catholicism/Christianity,High School,3-4 years,"Arts, Culture, and Entertainment"
annotator050,Woman,22-30,White/Caucasian,Judaism,High School,None,Other
annotator084,Man,30-45,Latino/Hispanic,Atheist/Agnostic,High School,Hobby,Other
annotator052,Woman,30-45,White/Caucasian,Catholicism/Christianity,Associates/Trade,Artistic Interests,"Business, Management, and Administration"
annotator012,Woman,45+,White/Caucasian,Catholicism/Christianity,High School,None,Other
annotator065,Man,30-45,White/Caucasian,Atheist/Agnostic,High School,None,Other
annotator001,Woman,22-30,White/Caucasian,Catholicism/Christianity,Masters,3-4 years,"Arts, Culture, and Entertainment"
annotator027,Woman,45+,White/Caucasian,Atheist/Agnostic,Masters,None,"Education, Law, Government, and Social Services"
annotator017,Woman,45+,White/Caucasian,Atheist/Agnostic,Bachelors,1-2 years,"Business, Management, and Administration"
annotator030,Transgender,22-30,White/Caucasian,Other,High School,3-4 years,"Health, Engineering, Science, and Technology"
annotator014,Woman,22-30,White/Caucasian,Catholicism/Christianity,Masters,1-2 years,"Arts, Culture, and Entertainment"
annotator063,Woman,30-45,Latino/Hispanic,Catholicism/Christianity,High School,None,"Business, Management, and Administration"
annotator045,Man,45+,White/Caucasian,Catholicism/Christianity,Masters,3-4 years,Communications and Information Systems
annotator073,Woman,30-45,White/Caucasian,Catholicism/Christianity,Bachelors,None,"Education, Law, Government, and Social Services"
annotator020,Transgender,22-30,White/Caucasian,Other,Associates/Trade,Hobby,"Education, Law, Government, and Social Services"
annotator041,Man,30-45,White/Caucasian,Catholicism/Christianity,High School,None,Other
annotator062,Woman,30-45,White/Caucasian,Catholicism/Christianity,Masters,1-2 years,Communications and Information Systems
annotator011,Woman,22-30,Asian,Catholicism/Christianity,Masters,Artistic Interests,"Health, Engineering, Science, and Technology"
