AnnotatorId,Does a thorough job,Is reserved,Is outgoing,Gets nervous easily,Has few artistic interests,"Relaxed, handles stress well",Tends to find fault with others,Is trusting,Tends to be lazy,Has an active imagination,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness
annotator019,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,-1,-1,1,2,2
annotator031,Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,-1,4,2,-3,2
annotator068,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,-2,2,1,1,3
annotator090,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,0,2,4,-2,3
annotator050,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,1,2,2,2,1
annotator084,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,-3,0,3,2,4
annotator052,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,-2,3,4,-4,1
annotator012,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2,-2,2,-1,2
annotator065,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,-4,4,0,3,2
annotator001,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,1,2,3,-3,0
annotator027,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,1,-1,0,-2,1
annotator017,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,-1,0,4,-1,4
annotator030,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,-2,2,4,-1,4
annotator014,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,2,3,4,-3,0
annotator063,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,-2,-2,3,2,2
annotator045,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,3,4,4,-3,3
annotator073,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,-1,3,2,-3,0
annotator020,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,3,4,4,0,2
annotator041,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,2,3,4,-4,1
