,nyt_img_id,caption,perturbed_caption_1,goog_img_id_1,perturbed_caption_2,goog_img_id_2,perturbed_caption_3,goog_img_id_3
0,1b01f358-7640-597d-9213-930fa5cdb125,"Largely freed from domestic travel restrictions, Americans have been flocking to national parks in record numbers this spring and summer. Several parks  including Yellowstone National Park and Grand Teton National Park  have already set monthly visitation records. Many sites are gearing up for their busiest years in history.",Americans have been flocking to national parks in record numbers this spring and summer,1b01f358-7640-597d-9213-930fa5cdb125_cap0_2,Yellowstone National Park,1b01f358-7640-597d-9213-930fa5cdb125_cap2_0,Several parks  including Yellowstone National Park and Grand Teton National Park  ,1b01f358-7640-597d-9213-930fa5cdb125_cap1_2
1,24334b9e-9f91-56c5-9bbe-e99377a86d1c,"Part of what Katherine Lee loves about Moscow, Idaho, where she lives, are the trails 10 minutes away. She visits with family or friends several days a week to hike or mountain bike, or to have walking meetings with colleagues.","Part of what Katherine Lee loves about Moscow, Idaho, where she lives,",24334b9e-9f91-56c5-9bbe-e99377a86d1c_cap1_1,"Katherine Lee loves the trails 10 minutes away from her home in Moscow, Idaho",24334b9e-9f91-56c5-9bbe-e99377a86d1c_cap0_3,Katherine Lee,24334b9e-9f91-56c5-9bbe-e99377a86d1c_cap2_1
2,2485c856-e7ec-5534-a87c-10326b851149,"It was 1846 and the poet Henry Wadsworth Longfellow was walking around Portland, Maine, his boyhood home, when he stopped and, as he wrote, listened to the lashing, lulling sound of the sea just at my feet. It was a beautiful afternoon, and the harbor was full of white sails, coming and departing.",the poet Henry Wadsworth Longfellow,2485c856-e7ec-5534-a87c-10326b851149_cap1_2,Henry Wadsworth Longfellow,2485c856-e7ec-5534-a87c-10326b851149_cap2_2,"Longfellow was walking around Portland, Maine, his boyhood home, when he",2485c856-e7ec-5534-a87c-10326b851149_cap0_2
3,277540ad-eeb2-5eb2-b2f7-7be24a2724b8,"It was my first visit to Romanias Southern Carpathian Mountains in 2018, and I was standing beside a derelict sheepfold high above the Dambovita Valley. To the east, the imposing limestone cliffs of Piatra Craiului, or Kings Rock, towered overhead. All around me was a panorama of deep valleys, soaring mountains and the ever-present forest.","the imposing limestone cliffs of Piatra Craiului, or Kings Rock,",277540ad-eeb2-5eb2-b2f7-7be24a2724b8_cap1_2,It was my first visit to Romanias Southern Carpathian Mountains in 2018,277540ad-eeb2-5eb2-b2f7-7be24a2724b8_cap0_2,Piatra Craiului,277540ad-eeb2-5eb2-b2f7-7be24a2724b8_cap2_3
4,33e68fc6-a271-54ca-b71d-49849db63171,"For many travelers, the prepandemic pace of whirlwind getaways and bucket-list-skimming trips seems so 2019. Now, as destinations cautiously reopen, travelers who spent a year or more confronted by climate change, social activism and a lack of human connection are embracing slow motion as a sustainable speed for exploring the world.",Travelers who spent a year or more confronted by climate change are embracing slow motion,33e68fc6-a271-54ca-b71d-49849db63171_cap0_1,"travelers who spent a year or more confronted by climate change,",33e68fc6-a271-54ca-b71d-49849db63171_cap1_2,social activism and a lack of human connection,33e68fc6-a271-54ca-b71d-49849db63171_cap2_0
5,410e5329-118c-5046-ba8f-6c6e7f72e506,"Sergei Chernikov, my guide, had a bolt-action rifle slung over his shoulder  in case we came across any polar bears, he said, or in case they came across us.","Sergei Chernikov, my guide,",410e5329-118c-5046-ba8f-6c6e7f72e506_cap2_0,"Sergei Chernikov, my guide, had a bolt-action rifle sl",410e5329-118c-5046-ba8f-6c6e7f72e506_cap0_3,a bolt-action rifle,410e5329-118c-5046-ba8f-6c6e7f72e506_cap1_0
6,41d47e1d-588c-5768-8734-d7ac426eddf2,"As stranded Spirit Airlines travelers grew desperate at San Juan Airport in Puerto Rico during a chaotic night of cancellations on Aug. 1, banging on a gate door and yelling at staff, police officers rounded up the airlines cabin crews to hide them.",stranded Spirit Airlines travelers,41d47e1d-588c-5768-8734-d7ac426eddf2_cap1_2,Spirit Airlines cabin crews were rounded up by police at San Juan Airport in Puerto Rico,41d47e1d-588c-5768-8734-d7ac426eddf2_cap0_1,Spirit Airlines,41d47e1d-588c-5768-8734-d7ac426eddf2_cap2_0
7,42a10800-eb2e-5713-be8f-5d977adadfec,"My wife and I are both fully vaccinated and were planning to visit Germany, Austria, the Czech Republic and France next month. I cant seem to find consistent information online as to whether any or all of those countries have mask requirements. There are so many questions.  Will fabric masks suffice? Does one have to wear a mask outside? What about respirators like FFP2 or N95 masks? We are happy to comply with the mandates.  we just dont know the specifics. Victor.",any or all of those countries,42a10800-eb2e-5713-be8f-5d977adadfec_cap2_0,"Victor and his wife are both fully vaccinated and were planning to visit Germany, Austria",42a10800-eb2e-5713-be8f-5d977adadfec_cap0_1,My wife and I,42a10800-eb2e-5713-be8f-5d977adadfec_cap1_0
8,4942b483-b12a-50ea-840d-c3665d18e16b,"Its a land of mangroves along the Caribbean Sea, home to some of the earliest astronomers, and an inviting day trip back in time to ancient cities like Chich\xe9n Itz\xe1, a Unesco World Heritage site.",Chichén Itzá is a land of mangroves along the Caribbean Sea,4942b483-b12a-50ea-840d-c3665d18e16b_cap0_2,Unesco World Heritage,4942b483-b12a-50ea-840d-c3665d18e16b_cap2_1,Chichén Itzá,4942b483-b12a-50ea-840d-c3665d18e16b_cap1_1
9,49caa81b-c4f1-539a-aa31-c1f7ef76c24a,"My horse was ready to bolt  his ears pricked, his muscles tense. A few feet ahead, a herd of wild horses stared back at us.  theyd been unaware of us for most of our ascent from the valley below. Horned lizards shuffled in the sagebrush beneath us, but my horses gaze remained locked on his untamed brethren.",a herd of wild horses,49caa81b-c4f1-539a-aa31-c1f7ef76c24a_cap2_1,"My horse was ready to bolt  his ears pricked, his muscles tense",49caa81b-c4f1-539a-aa31-c1f7ef76c24a_cap0_2,my horses gaze,49caa81b-c4f1-539a-aa31-c1f7ef76c24a_cap1_0
10,4d80f749-66bc-5e53-937d-14b413a739e0,"For a visitor who was on the island of Oahu in 2019 when a record 10.4 million people visited Hawaii, returning to Honolulu nearly a year after the onset of the coronavirus pandemic is breathtaking.",Oahu,4d80f749-66bc-5e53-937d-14b413a739e0_cap2_3,a record 10.4 million people,4d80f749-66bc-5e53-937d-14b413a739e0_cap1_0,A record 10,4d80f749-66bc-5e53-937d-14b413a739e0_cap0_1
11,4e8dc626-431f-53db-8071-57096f8f0f05,"In a grove of old-growth trees, in Northern Californias Humboldt Redwoods State Park, emerald-tinged light filters through a dense green canopy. Fallen tree trunks are coated in a riot of fluorescent verdant growth and crescent-shaped oyster mushrooms. Stumps, 20 feet wide, are obscured with budding wildflowers and ferns. Earlier, I drove along the Avenue of the Giants, a 31-mile scenic road that winds through a tunnel of green and gold.",Fallen tree trunks,4e8dc626-431f-53db-8071-57096f8f0f05_cap2_1,"Stumps, 20 feet wide,",4e8dc626-431f-53db-8071-57096f8f0f05_cap1_1,"In a grove of old-growth trees, emerald-tinged light filters",4e8dc626-431f-53db-8071-57096f8f0f05_cap0_0
12,5a8eaae9-26a1-5280-b200-3aee65238c73,"Jeff Belcher, 41, wouldnt necessarily have chosen Williamsburg, Va., as the destination for his familys first vacation since travel restrictions began to ease. But when his extended family decided to travel to the American Revolution-era town for a reunion this summer, he knew that he, his wife and their three children wouldnt miss it.",his extended family,5a8eaae9-26a1-5280-b200-3aee65238c73_cap2_0,"Jeff Belcher, 41, and his family traveled to Williamsburg, Va",5a8eaae9-26a1-5280-b200-3aee65238c73_cap0_3,his wife and their three children,5a8eaae9-26a1-5280-b200-3aee65238c73_cap1_2
13,676be22d-d0ea-5912-9be5-cc6aa9c1f0ae,"From strict testing, masking and physical-distancing protocols in New York and California, to a full 40,000-seat stadium with almost no coronavirus restrictions outside Dallas.",There are almost no coronavirus restrictions outside Dallas,676be22d-d0ea-5912-9be5-cc6aa9c1f0ae_cap0_1,New York,676be22d-d0ea-5912-9be5-cc6aa9c1f0ae_cap1_2,California,676be22d-d0ea-5912-9be5-cc6aa9c1f0ae_cap2_3
14,6f0b9217-c508-59b8-afc0-f1d3c4d3a83e,"In 2017, while I was traveling through India, a friend from the northeastern state of Assam told me about the communities of Lost Tribe Jews in the neighboring state of Mizoram. Having grown up in a Jewish family without ever fully embracing the religion of my observant parents, I was intrigued and wanted to know more.",a friend from the northeastern state of Assam,6f0b9217-c508-59b8-afc0-f1d3c4d3a83e_cap1_0,"In 2017, a friend from the northeastern state of Assam told me about the communities",6f0b9217-c508-59b8-afc0-f1d3c4d3a83e_cap0_3,India,6f0b9217-c508-59b8-afc0-f1d3c4d3a83e_cap2_1
